"BHK","Rent","Size","Current_floor","Total_floor","Area_type","Area_locality","City","Furnishing_status","Tenant_preferred","Bathroom","Contact"
2,10000,1300,0,1,"Super","Kalikapur","Kolkata","Semi-Furnished","Family",2,"Owner"
2,4600,400,3,3,"Carpet","Behala","Kolkata","Semi-Furnished","Bachelors",1,"Owner"
2,12000,650,0,1,"Super","Baishnabghata Patuli Township, Patuli","Kolkata","Unfurnished","Family",2,"Owner"
3,30000,2000,0,2,"Super","Behala","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
3,15000,1068,0,3,"Super","Bansdroni","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
1,7500,150,1,1,"Super","Salt Lake City","Kolkata","Furnished","Bachelors/Family",1,"Owner"
1,7500,450,2,2,"Carpet","New Town","Kolkata","Unfurnished","Bachelors",1,"Owner"
2,5000,800,0,1,"Carpet","Baruipur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,15000,1000,0,2,"Super","Bansdroni","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,11000,900,5,5,"Super","Pancha Sayar","Kolkata","Semi-Furnished","Bachelors",1,"Owner"
1,7000,600,0,2,"Carpet","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,6000,1200,1,1,"Super","Hooghly-Chinsurah","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,6000,1200,2,2,"Super","Hooghly-Chinsurah","Kolkata","Semi-Furnished","Bachelors",2,"Owner"
2,7000,650,0,3,"Super","Amtala, Diamond Harbour Road","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
2,8500,720,4,4,"Carpet","Shrachi Village, Madhyam Gram","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
1,5000,300,1,3,"Carpet","Kasba","Kolkata","Unfurnished","Bachelors",1,"Owner"
3,30000,1200,0,2,"Carpet","VIP Road Haldiram","Kolkata","Unfurnished","Bachelors/Family",3,"Agent"
2,10000,700,7,8,"Carpet","Sarsuna","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
3,30000,2000,1,3,"Super","Naihati","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
1,3500,250,0,4,"Super","Baksara","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,8000,1100,0,3,"Carpet","Naihati","Kolkata","Unfurnished","Bachelors",1,"Owner"
1,5000,300,0,2,"Carpet","Kasba","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,7500,600,0,2,"Super","Amtala, Diamond Harbour Road","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,6500,800,0,2,"Carpet","Chak Thakurani, Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,7500,680,1,3,"Super","Jadavpur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,7500,680,0,2,"Super","Jadavpur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,16000,850,1,4,"Carpet","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors",1,"Agent"
2,16000,850,1,2,"Carpet","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors",1,"Agent"
2,6500,700,0,2,"Super","Bandel","Kolkata","Unfurnished","Bachelors",1,"Owner"
3,40000,1500,0,2,"Super","Beliaghata","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,12500,950,1,4,"Super","Magnolia Prestige, Rajarhat","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
2,5500,500,0,2,"Super","Baishnabghata Patuli Township, Patuli","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,5000,450,2,4,"Carpet","Dum Dum Heights, Jessore Road","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,6500,700,0,2,"Super","Sonarpur","Kolkata","Unfurnished","Bachelors",1,"Owner"
1,8000,500,1,2,"Super","Lake Town","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
3,14500,1800,0,2,"Super","Belghoria","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
1,8200,500,1,3,"Carpet","Rabindra Pally, Keshtopur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,15000,480,0,3,"Carpet","shukhobrishti","Kolkata","Furnished","Bachelors/Family",2,"Owner"
6,20000,1000,1,1,"Super","Sonarpur","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
2,6700,800,1,2,"Super","Baishnavghata patuli , house number s-300 Kolkata 700094","Kolkata","Furnished","Bachelors/Family",1,"Owner"
1,10000,435,2,3,"Super","Kasba","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,7000,700,0,2,"Carpet","Dum Dum Metro","Kolkata","Semi-Furnished","Bachelors/Family",2,"Agent"
2,22000,800,4,4,"Super","Hazra, Kalighat","Kolkata","Furnished","Bachelors/Family",1,"Agent"
2,6500,450,1,3,"Super","Ajoy Nagar","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,8500,550,2,3,"Carpet","Kasba -East","Kolkata","Semi-Furnished","Bachelors/Family",1,"Agent"
2,18000,800,0,4,"Carpet","Salt Lake City","Kolkata","Unfurnished","Bachelors",2,"Agent"
2,12000,550,0,2,"Carpet","Baghajatin","Kolkata","Semi-Furnished","Family",2,"Owner"
1,9000,600,2,4,"Super","Behala","Kolkata","Furnished","Bachelors/Family",1,"Owner"
1,6000,500,0,1,"Super","New Garia, Garia","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,20000,1000,1,2,"Super","Anandapur","Kolkata","Furnished","Bachelors/Family",2,"Owner"
1,5000,300,1,2,"Carpet","Dum Dum Metro","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,12000,1200,1,3,"Super","Boral","Kolkata","Furnished","Bachelors/Family",2,"Owner"
2,10000,500,3,4,"Carpet","Rabindra Pally, Keshtopur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
4,18000,1200,1,2,"Super","Bagbazar","Kolkata","Unfurnished","Family",2,"Owner"
2,15000,900,1,2,"Carpet","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",2,"Agent"
3,22000,1300,0,2,"Carpet","Salt Lake City Sector 2","Kolkata","Unfurnished","Bachelors/Family",3,"Agent"
4,35000,1600,1,5,"Carpet","Salt Lake City Sector 3","Kolkata","Unfurnished","Bachelors/Family",3,"Agent"
3,21000,1450,0,1,"Super","Ajoy Nagar","Kolkata","Unfurnished","Family",2,"Owner"
2,25000,1100,2,2,"Super","Action Area 1, Rajarhat Newtown","Kolkata","Furnished","Bachelors",2,"Agent"
2,180000,950,0,1,"Carpet","Avenue S, Santoshpur","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
1,6000,600,8,5,"Carpet","Pratiraksha Nagar","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,14000,700,0,2,"Carpet","Kudghat, Ashok Nagar","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
3,8000,750,0,2,"Super","Sakher Bazar, Purba Barisha","Kolkata","Unfurnished","Family",1,"Owner"
2,8000,1000,0,1,"Super","Purbasan, Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,6000,220,0,2,"Super","Bidhan Pally, Bansdroni","Kolkata","Furnished","Bachelors/Family",1,"Owner"
1,8000,300,1,3,"Carpet","Naktala, Garia","Kolkata","Semi-Furnished","Bachelors",1,"Agent"
1,6000,300,0,1,"Carpet","Tiljala Road","Kolkata","Unfurnished","Bachelors/Family",1,"Agent"
1,20000,700,1,2,"Super","Sankaritola","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
3,12000,800,0,1,"Super","Parnashree Lake, Behala","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
3,15000,1600,1,3,"Super","Garia","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,14000,1000,1,3,"Carpet","Kasba","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
1,5000,20,2,3,"Super","Dakshineswar","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,7000,400,0,2,"Carpet","chatana","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,3900,200,2,2,"Super","Shyam Bazar","Kolkata","Furnished","Bachelors/Family",1,"Owner"
3,14000,840,1,4,"Carpet","Mukundapur","Kolkata","Unfurnished","Bachelors",2,"Owner"
1,6300,300,1,1,"Carpet","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",1,"Agent"
2,13000,550,1,2,"Carpet","Salt Lake City Sector 5","Kolkata","Furnished","Bachelors/Family",2,"Agent"
1,6800,300,1,2,"Carpet","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",1,"Agent"
2,8000,800,1,1,"Super","Behala Chowrasta","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,10000,740,0,6,"Carpet","Sonarpur","Kolkata","Unfurnished","Bachelors",1,"Owner"
2,18000,1300,1,1,"Super","Santoshpur","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,8000,650,0,1,"Super","Garia Station, Garia","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,8000,490,1,1,"Super","Entally","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
1,4700,250,2,2,"Super","Kaikhali","Kolkata","Furnished","Bachelors/Family",1,"Owner"
1,4700,250,0,1,"Super","Dash Drone, Rajarhat Newtown","Kolkata","Furnished","Bachelors/Family",1,"Owner"
1,4500,450,1,2,"Super","Rabindra Pally, Keshtopur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,6000,300,0,1,"Carpet","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,16000,750,1,3,"Super","Rajdanga Gardens, Kasba","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
1,4700,250,1,2,"Super","Kaikhali","Kolkata","Furnished","Bachelors/Family",1,"Owner"
2,14000,751,3,3,"Carpet","Baghajatin","Kolkata","Unfurnished","Bachelors",1,"Owner"
2,9000,900,0,2,"Carpet","Lake Town","Kolkata","Semi-Furnished","Bachelors",1,"Owner"
2,5000,400,1,3,"Carpet","Keshtopur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,17500,1000,0,2,"Carpet","Salt Lake City","Kolkata","Semi-Furnished","Bachelors/Family",2,"Agent"
2,8500,1000,0,1,"Carpet","South Baksara","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
3,15000,1500,1,1,"Carpet","Chandannagar, Hooghly-Chinsurah","Kolkata","Semi-Furnished","Family",2,"Owner"
2,12500,750,1,3,"Carpet","Sukhpally, Haltu","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
1,13000,1200,2,4,"Super","Kasba","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,8000,700,0,1,"Super","Sakher Bazar, Purba Barisha","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,8000,700,4,4,"Carpet","Garia Dhalua Nabapally","Kolkata","Furnished","Bachelors/Family",1,"Owner"
2,8000,1000,0,2,"Super","Chinar Park, Rajarhat","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,7000,1200,1,3,"Super","Konnagar","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,2200,550,2,3,"Super","Behala silpara","Kolkata","Furnished","Bachelors/Family",1,"Owner"
2,8000,800,0,4,"Carpet","Vip Road","Kolkata","Unfurnished","Bachelors",1,"Owner"
2,5500,280,1,3,"Super","New Barrakpur","Kolkata","Unfurnished","Bachelors",1,"Owner"
3,20000,1100,0,2,"Super","Thakurpukur, Kolkata","Kolkata","Unfurnished","Bachelors/Family",3,"Owner"
2,7000,950,0,2,"Super","Kaikhali","Kolkata","Unfurnished","Bachelors/Family",1,"Agent"
1,3500,250,1,2,"Super","Phool Bagan, Kankurgachi","Kolkata","Furnished","Bachelors/Family",1,"Owner"
2,5000,1000,0,2,"Carpet","Hindmotor","Kolkata","Unfurnished","Bachelors",1,"Owner"
3,20000,1000,0,2,"Carpet","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
2,7000,650,0,2,"Super","Howrah","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,10000,700,1,2,"Super","Benia Pukur","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,7000,700,0,3,"Carpet","Baguiati","Kolkata","Unfurnished","Bachelors",1,"Owner"
3,12000,1000,0,3,"Super","E M Bypass","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
2,14500,900,1,4,"Carpet","Panchanan Tola, Thakurpukur","Kolkata","Unfurnished","Bachelors",2,"Owner"
1,6000,700,1,2,"Super","VIP Nagar, E M Bypass","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,9500,700,1,2,"Super","Jadavpur","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,10000,450,2,1,"Carpet","Behala","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
1,3500,120,0,3,"Super","Dum Dum Cantonment","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,9000,800,1,2,"Super","New Garia, Garia","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
3,40000,1220,2,3,"Carpet","Salt Lake City Sector 3","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
3,16500,1100,0,3,"Super","Mominpur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
3,8000,700,0,3,"Carpet","Halisahar Station Road, Kanchrapara","Kolkata","Unfurnished","Family",2,"Owner"
2,12000,800,0,3,"Super","Santoshpur","Kolkata","Furnished","Bachelors/Family",1,"Owner"
2,6500,670,2,2,"Super","Dunlop, Dakshineswar, Belgharia Expressway","Kolkata","Unfurnished","Family",1,"Owner"
4,40000,1300,1,2,"Super","Ballygunge","Kolkata","Unfurnished","Bachelors/Family",3,"Owner"
1,5000,190,0,2,"Super","Baguihati","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,9000,700,0,2,"Super","Kabardanga","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
1,7000,240,0,4,"Carpet","Jadavpur","Kolkata","Unfurnished","Bachelors",1,"Owner"
2,18000,850,2,4,"Carpet","Behala Chowrasta","Kolkata","Semi-Furnished","Family",1,"Owner"
1,9000,950,1,2,"Super","Haltu","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
1,5500,450,1,2,"Carpet","Botanical Garden Area","Kolkata","Furnished","Bachelors/Family",1,"Owner"
2,7500,800,0,2,"Carpet","Bonhooghly","Kolkata","Unfurnished","Bachelors",1,"Owner"
2,4000,600,1,2,"Carpet","Nilgung Old Bazar","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
3,10500,800,2,2,"Carpet","Teghoria, Baguiati","Kolkata","Unfurnished","Bachelors",2,"Owner"
3,15000,1100,0,2,"Carpet","Survey Park","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,15000,800,0,2,"Carpet","Baguiati","Kolkata","Furnished","Bachelors/Family",1,"Owner"
1,50000,2200,2,5,"Super","Kanchrapara","Kolkata","Furnished","Bachelors/Family",3,"Owner"
2,12000,950,1,1,"Carpet","Jote Shibrampur, Joth Shibrampur","Kolkata","Unfurnished","Bachelors",2,"Owner"
2,11000,550,2,3,"Carpet","Ultadanga","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,12000,1800,1,1,"Carpet","Birati","Kolkata","Unfurnished","Bachelors",2,"Owner"
2,8000,1000,0,2,"Super","Chinar Park, Rajarhat","Kolkata","Furnished","Bachelors/Family",1,"Owner"
2,18000,600,0,3,"Super","Bagha Jatin Pally","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
2,8000,750,2,4,"Carpet","rishi aurobindo sarani neat NIOH hospital","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
2,7000,685,2,3,"Super","Dum Dum Metro","Kolkata","Unfurnished","Bachelors/Family",1,"Agent"
1,6500,44,0,1,"Carpet","Baranagar","Kolkata","Furnished","Bachelors/Family",1,"Owner"
4,13000,1200,0,2,"Carpet","Tollygunge","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,9000,500,0,2,"Carpet","Airport Near Gate No. 21/2","Kolkata","Unfurnished","Bachelors",1,"Owner"
4,10000,1110,2,2,"Carpet","Purbasa","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,12000,1000,1,3,"Super","Jadavpur","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,5000,392,0,2,"Super","Jadavpur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,6000,700,1,2,"Super","Barasat-Barrackpore Road","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,5200,750,2,4,"Super","Keshtopur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
3,15000,1500,1,2,"Super","Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road","Kolkata","Unfurnished","Family",2,"Owner"
2,9000,900,0,1,"Super","Keshtopur","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
1,24000,710,1,1,"Super","Salt Lake City Sector 1","Kolkata","Furnished","Bachelors",1,"Agent"
1,5500,400,0,3,"Carpet","jadavpur central park east","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,10000,700,1,2,"Carpet","Garia","Kolkata","Unfurnished","Bachelors",1,"Owner"
2,15000,1000,0,2,"Carpet","Tn Chatterjee Street","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
1,4700,250,1,2,"Super","Kaikhali","Kolkata","Furnished","Bachelors/Family",1,"Owner"
1,5000,500,0,3,"Carpet","Bata Nagar","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,5000,450,2,2,"Carpet","Birati","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
3,15000,1400,1,3,"Super","Survey Park","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,5000,500,1,1,"Carpet","Bata Nagar","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,6000,700,0,1,"Carpet","Hatiara Extention","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
3,18000,1200,1,3,"Carpet","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,8000,450,1,2,"Carpet","Andul","Kolkata","Unfurnished","Bachelors",1,"Owner"
1,13000,500,2,2,"Carpet","Salt Lake City Sector 2","Kolkata","Furnished","Bachelors",1,"Agent"
2,7500,400,0,1,"Carpet","locality","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
3,12000,1000,0,1,"Super","Khardah","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,11000,750,0,1,"Carpet","Parnasree Pally","Kolkata","Unfurnished","Bachelors",1,"Owner"
1,6000,450,0,2,"Super","Baghajatin","Kolkata","Unfurnished","Family",1,"Owner"
3,20000,1000,1,2,"Carpet","Salt Lake City Sector 3","Kolkata","Unfurnished","Bachelors",2,"Agent"
2,7000,500,1,1,"Carpet","sarsuna banerjee para","Kolkata","Unfurnished","Bachelors",2,"Owner"
4,30000,1600,0,1,"Carpet","Salt Lake City Sector 3","Kolkata","Unfurnished","Bachelors",2,"Agent"
2,7500,550,0,1,"Carpet","Near Seven Tanks Road Dumdum Station","Kolkata","Unfurnished","Bachelors",1,"Owner"
1,6500,550,1,2,"Super","Jyangra","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
1,3000,200,2,3,"Super","Barasat","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,5200,650,1,2,"Carpet","Sukchar","Kolkata","Unfurnished","Bachelors",1,"Owner"
2,25000,1000,1,1,"Super","Tagore Park, Kasba","Kolkata","Furnished","Bachelors/Family",2,"Owner"
2,12500,680,0,2,"Carpet","Barrackpore","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,8500,720,0,1,"Carpet","Silpara, Purba Barisha","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,3500,500,4,5,"Carpet","Konnagar","Kolkata","Unfurnished","Bachelors",1,"Owner"
2,7000,800,0,2,"Super","Madhyam Gram","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,3000,160,0,1,"Super","Kudghat, Ashok Nagar","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,14000,1200,1,2,"Carpet","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",2,"Agent"
1,18000,700,0,4,"Super","Salt Lake City Sector 3","Kolkata","Furnished","Bachelors/Family",1,"Owner"
1,3500,1000,0,1,"Super","Dum Dum Cantonment","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,16000,1250,0,1,"Super","Kasba","Kolkata","Unfurnished","Bachelors/Family",2,"Agent"
4,35000,1600,0,3,"Super","Salt Lake City","Kolkata","Unfurnished","Bachelors/Family",3,"Owner"
2,21000,700,0,2,"Super","Lake Gardens","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
1,4500,450,0,2,"Super","Silpara, Purba Barisha","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,15000,839,1,3,"Super","Howrah","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
1,4500,230,0,3,"Super","Birati","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,5500,1800,0,2,"Super","Baranagar","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,8500,800,1,2,"Super","Baguihati","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
1,5000,500,0,1,"Carpet","BRAHMAPUR NEAR BANSDRONI","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,8500,620,0,1,"Carpet","Kasba","Kolkata","Unfurnished","Bachelors",1,"Owner"
2,9000,650,2,3,"Carpet","tollygunge Kabardanga","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,7500,550,1,2,"Super","Naktala, Garia","Kolkata","Semi-Furnished","Bachelors/Family",1,"Agent"
2,7000,450,1,3,"Carpet","safuipara","Kolkata","Furnished","Bachelors",2,"Owner"
3,15000,1350,1,2,"Carpet","Annapurna Apartment, Rajarhat Chowmatha","Kolkata","Unfurnished","Family",2,"Owner"
2,7000,600,2,2,"Super","Park Circus, Ballygunge","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
3,10000,1200,2,4,"Super","Belghoria","Kolkata","Furnished","Bachelors/Family",1,"Owner"
2,7000,700,1,2,"Super","Haridevpur, Paschim Putiary","Kolkata","Unfurnished","Bachelors/Family",1,"Agent"
3,3200,800,1,3,"Carpet","Bhawanipur","Kolkata","Furnished","Bachelors/Family",2,"Owner"
2,6000,600,0,3,"Carpet","Santoshpur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
